Resight ID,Rankings,Name,Position,Location,Organisation,Bio,Sophistication score,S Tech and data,S Pricing,S Talent development,Experience score,numberOfReferences,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership,CaseTitle1,CaseSlug1,CaseTitle2,CaseSlug2,CaseTitle3,CaseSlug3
IND00020,Arbitration,Ajay Bhargava,Partner,Delhi,Khaitan & Co,Placeholder text for bio. Full bio will go here.,7.2,6,6,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND07515,Arbitration,Ashim Sood,Principal,Delhi,Ashim Sood Law Offices,Placeholder text for bio. Full bio will go here.,5.2,6,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00712,Arbitration,Ashish Bhan,Partner,Delhi,Trilegal,Placeholder text for bio. Full bio will go here.,7.9,9.3,-,-,7.9,1,10,10,10,8,10,8,8,10,-,-,-,-,-,-
IND00439,Arbitration,Binsy Susan,Partner,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,6.7,8.7,6,5,7,1,8,8,8,8,8,8,8,8,-,-,-,-,-,-
IND00064,Arbitration,Chakrapani Misra,Partner,Mumbai,Khaitan & Co,Placeholder text for bio. Full bio will go here.,6.2,6,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND01936,Arbitration,Dheeraj Nair,Partner,Delhi,JSA Advocates & Solicitors,Placeholder text for bio. Full bio will go here.,6.3,4.7,6,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00456,Arbitration,Ila Kapoor,Partner,Delhi,Shardul Amarchand Mangaldas & Co,Placeholder text for bio. Full bio will go here.,6.7,5.3,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00327,Arbitration,Indranil Deshmukh,Partner & Head of Disputes,Mumbai,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,6.2,6,5,7,10,4,10,10,10,10,10,10,10,9.6,-,-,-,-,-,-
IND00337,Arbitration,Kapil Arora,Partner,Delhi,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,7.6,6.7,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00739,Arbitration,Ketan Gaur,Partner,Delhi,Trilegal,Placeholder text for bio. Full bio will go here.,5.9,6.7,6,5,7.9,1,10,8,10,10,8,8,10,10,-,-,-,-,-,-
IND00112,Arbitration,Kingshuk Banerjee,Partner,Mumbai,Khaitan & Co,Placeholder text for bio. Full bio will go here.,6.5,7.3,6,6,8.3,1,10,10,10,10,10,10,8,10,-,-,-,-,-,-
IND00345,Arbitration,Lomesh Nidumuri,"Partner (Head â€“ Disputes, South India)",Bengaluru,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,7,6,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND02739,Arbitration,Manmeet Singh,Senior Partner,Delhi,Cyril Amarchand Mangaldas,Placeholder text for bio. Full bio will go here.,7.5,7.3,7,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
