Resight ID,Rankings,Name,Position,Location,Organisation,Bio,Sophistication score,S Tech and data,S Pricing,S Talent development,Experience score,numberOfReferences,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership,CaseTitle1,CaseSlug1,CaseTitle2,CaseSlug2,CaseTitle3,CaseSlug3
IND00020,Arbitration,Ajay Bhargava,Partner,Delhi,Khaitan & Co,"Ajay Bhargava runs a high-volume practice for Indian conglomerates, multinationals, and government bodies, with instructions from Aditya Birla Group, Adani Group, L&T, Siemens, Hyundai, Panacea and INOX. Complexity is among his strongest RISE indicators, with matters regularly involving multiple jurisdictions, public sector counterparties, and points of law with no settled precedent. A standout recent matter is Antrix Corporation, the first case in India to establish a doctrine of fraud in arbitration, with enforcement proceedings running in parallel across the Netherlands, Germany, France, and the US. His RISE sophistication score is anchored in talent development, working directly on matters alongside junior lawyers and having mentored around 15 lawyers to partnership over his career.",7.2,6,6,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND08609,Arbitration,Ashim Sood,Principal,Delhi,Ashim Sood Law Offices,"Ashim Sood runs a deliberately constrained practice built around depth rather than volume, concentrating on a small number of matters at a time. Direct senior involvement is the product rather than an occasional feature. His RISE instructions scores reflect this: the work he takes on is typically complex in legal rather than financial terms, gravitating toward jurisdictional questions, corporate veil arguments, and cases where the applicable framework is genuinely unsettled. His sophistication score is anchored in how he deploys technology. He uses AI primarily as a verification layer to identify contradictions across documents and cross-check witness statements against correspondence, and is building a knowledge management system to retrieve prior research systematically across matters.",5.2,6,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00712,Arbitration,Ashish Bhan,Partner,Delhi,Trilegal,"Ashish Bhan has been at Trilegal since 2010 and leads a team of 25 to 30 lawyers, with arbitration accounting for around 45 to 50% of his personal practice. AI usage drives his strong RISE sophistication score. Running searches across Trilegal's 25-year database via Lucio, his team recently identified eight recurring risk areas in a defence tender in days rather than the two days of manual file review previously required. Defence and aviation manufacturers form the core of his client base, with a practice specialising in procurement arbitrations involving G2G contracts, geopolitical sensitivities, and strategic decisions about which claims to press and which to concede to preserve government relationships across jurisdictions.",7.9,9.3,-,-,7.9,1,10,10,10,8,10,8,8,10,-,-,-,-,-,-
IND00439,Arbitration,Binsy Susan,Partner,Delhi,Shardul Amarchand Mangaldas & Co,"Binsy Susan's RISE instructions scores are her strongest metric, built on a genuinely multi-jurisdictional practice spanning SIAC, ICC, AAA, and CAM CCBC, with matters seated across Singapore, Brazil, the US, and India. Few India-based practitioners can match that breadth. Reputation scores are solid, underpinned by consistent directory recognition and a social media presence that keeps her visible beyond the immediate legal market. Her instruction base is distinctive in sector range, spanning technology, construction, oil and gas, energy, infrastructure, and telecoms alongside the more typical M&A, JV and shareholder disputes.",6.7,8.7,6,5,7,1,8,8,8,8,8,8,8,8,-,-,-,-,-,-
IND00064,Arbitration,Chakrapani Misra,Senior Partner,Mumbai,Khaitan & Co,"Chakrapani Misra has practised arbitration for over 33 years, beginning under the 1940 Act before the current framework existed. His RISE sophistication score is his most prominent metric, built through a pricing score above the median. His instruction base reflects a predominantly domestic practice of high legal complexity. Standout recent matters include a procedurally challenging ropeway project arbitration for a major Mumbai temple and an ICC cross-border money claim for a Mauritius-based company against an Indian multinational subsidiary.",6.2,6,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND01936,Arbitration,Dheeraj Nair,Partner,Delhi,JSA Advocates & Solicitors,"Dheeraj Nair's RISE instructions metrics reflect high volume across complex mandates, concentrated in private equity shareholders' disputes, and technically complex arbitrations in infrastructure, oil and gas sectors. These span international, domestic, institutional, and ad hoc proceedings alongside white collar and insolvency work. A standout matter involved defending three major PE investors against an emergency SIAC injunction application, where he not only resisted the order but secured one against the counterparty. He focuses on identifying settlement windows early and delivering outcomes quickly, qualities reflected in his strong RISE experience metrics.",6.3,4.7,6,8,8.5,1,10,10,10,10,10,10,10,10,-,-,-,-,-,-
IND00456,Arbitration,Ila Kapoor,Partner,Delhi,Shardul Amarchand Mangaldas & Co,"Ila Kapoor's RISE reputation metrics place her among the leading practitioners in this cohort, with strong instructions scores reflecting her consistent role on high-value disputes. Her practice is increasingly focused on private equity matters, where she advises foreign PE firms and Indian promoters on exit and post-acquisition claims, alongside a steady flow of hospitality arbitrations. She also handles construction disputes with international counterparties and multi-jurisdictional commercial arbitrations. She studied law in the UK, worked in the US and conducts her own advocacy rather than routinely briefing senior counsel, supporting her cross-border approach.",6.7,5.3,7,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00327,Arbitration,Indranil D Deshmukh,Partner & Head of Disputes,Mumbai,Cyril Amarchand Mangaldas,"Indranil D Deshmukh holds one of the strongest experience scores in this cohort, reflecting positive client feedback across all experience sub-indicators. His RISE instructions scores are equally solid, with a client base including Larsen & Toubro, CG Power, the Board of Control for Cricket in India, Hindustan Petroleum, Greenko Group, and Maharashtra State Road Development Corporation. His practice specialises in construction, EPC, oil and gas, infrastructure, and media rights arbitrations, frequently with government counterparties including MMRDA and ONGC. Deshmukh's RISE scores indicate a practice that completes solid, legally complex work rather than prioritising a loud external reputation.",6.2,6,5,7,10,4,10,10,10,10,10,10,10,9.6,-,-,-,-,-,-
IND00337,Arbitration,Kapil Arora,Partner,Delhi,Cyril Amarchand Mangaldas,"Kapil Arora's RISE instructions metrics are built on a concentrated book of repeat international clients in construction and infrastructure arbitration. Clients include Larsen & Toubro, Sembcorp Green Infra and Hellmann Worldwide Logistics, placing him at the higher end of the market for cross-border engineering disputes. Fifteen years of accumulated technical fluency allows him to explain turbine and boiler mechanics to tribunals himself. His Talent Development sub-indicator is also strong as he gives junior lawyers early exposure to high-stakes advocacy, producing a top-heavy team with negligible attrition. All advocacy and cross-examination is conducted in-house rather than briefing external counsel.",7.6,6.7,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IND00739,Arbitration,Ketan Gaur,Partner,Delhi,Trilegal,"Ketan Gaur holds rights of audience before the Singapore International Commercial Court and Court of Appeal, a practical credential that reflects the genuine shape of his practice. His mandates span Singapore, London, Germany, and India, and he routinely handles arbitration alongside the simultaneous enforcement, set-aside, and interim relief proceedings that follow. His RISE instructions score is one of his strongest metrics, with a near-perfect complexity rating, built on a client base that includes sovereign-linked entities alongside multinationals. He is appointed as arbitrator by Indian constitutional courts in ad hoc proceedings, and he regularly advises general counsel on operational and strategic questions beyond the formal mandate, giving him unusual commercial depth for a partner at his stage.",5.9,6.7,6,5,7.9,1,10,8,10,10,8,8,10,10,-,-,-,-,-,-
